Name, Max, Min, Average, Median,Before,Break,,,
,,,,,,,,,
receive block,571370,1645,9030.539,2102,,,Max,590000,
signal unblock,223468,2050,8580.5638,2742,,,Restart,540000,
workload,35786,3110,4199.6864,3727,,,Break,230000,
receive,11044,919,1097.2304,1066,,,Min,0,
send,17394,882,1131.289,1029,,,,,
,,,,,,,,,
release unblock,15082382,1852,6418148.406,5774596,,,For broken Y axis,,
request block,26799106,15123736,20950118.96,20928968,,,Labels,Xpos,Ypos
pip,47669,3486,4602.3226,4453.5,,,0,0,0
workload,24031,1897,2525.2982,2509,,,40000,0,40000
acquisition,3537,35,50.0308,51,,,80000,0,80000
release,897,34,47.5838,49,,,120000,0,120000
,,,,,,,160000,0,160000
signal unblock,27012858,11934962,18747821.91,18488877.5,,,200000,0,200000
wait block,12402669,1740,5434033.386,5343209,,,,0.25,240000
signal,3428,34,46.6096,48,,,540000,0,280000
wait,247,34,47.1814,48,,,600000,0,320000
singaling with prio,11732,678,852.2918,748,,,,,
,,,,,,,,,
ctx switch,18683964,1569,6182078.856,4673922,,,,,
