Max,Min,Average,Median
15082382,1862,6418148.4058,5774596.0
26799106,15123736,20950118.9554,20928968.0
15209032,1837,7205195.5112,6637124.5
33582060,15242815,23468420.935,22405209.0
15418160,1910,6631713.901,6634505.5
33323475,15500047,24706140.7788,25074946.0
9698968,1847,3773298.3504,3460557.0
21659479,9842726,15761416.5162,15719066.0
9383559,1852,3599546.138,3292630.5
22946278,9473048,15884079.9356,15816195.0
--------
mutex_release_unblock
Max,Min,Average,Median
15082382,1862,6418148.4058,5774596.0
15209032,1837,7205195.5112,6637124.5
15418160,1910,6631713.901,6634505.5
9698968,1847,3773298.3504,3460557.0
9383559,1852,3599546.138,3292630.5
--------
mutex_request_block
Max,Min,Average,Median
26799106,15123736,20950118.9554,20928968.0
33582060,15242815,23468420.935,22405209.0
33323475,15500047,24706140.7788,25074946.0
21659479,9842726,15761416.5162,15719066.0
22946278,9473048,15884079.9356,15816195.0
